"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2057,1,"A","RR","LREC","NewOilGHG",4.08104435090659,"Oil New","Oil New"
2058,1,"A","RR","LREC","NewOilGHG",4.12315716559934,"Oil New","Oil New"
2059,1,"A","RR","LREC","NewOilGHG",4.17134909747207,"Oil New","Oil New"
2060,1,"A","RR","LREC","NewOilGHG",4.22705353267914,"Oil New","Oil New"
2020,1,"A","RR","LREC","OldGasGHG",261.936924645379,"Gas Existing","Gas Existing"
2021,1,"A","RR","LREC","OldGasGHG",257.792893352619,"Gas Existing","Gas Existing"
2022,1,"A","RR","LREC","OldGasGHG",253.687498664926,"Gas Existing","Gas Existing"
2023,1,"A","RR","LREC","OldGasGHG",249.621888602661,"Gas Existing","Gas Existing"
2024,1,"A","RR","LREC","OldGasGHG",245.597211186183,"Gas Existing","Gas Existing"
2025,1,"A","RR","LREC","OldGasGHG",241.614614435853,"Gas Existing","Gas Existing"
2026,1,"A","RR","LREC","OldGasGHG",237.675693213119,"Gas Existing","Gas Existing"
2027,1,"A","RR","LREC","OldGasGHG",233.783829743788,"Gas Existing","Gas Existing"
2028,1,"A","RR","LREC","OldGasGHG",229.942853094754,"Gas Existing","Gas Existing"
2029,1,"A","RR","LREC","OldGasGHG",226.15659233291,"Gas Existing","Gas Existing"
2030,1,"A","RR","LREC","OldGasGHG",222.428876525152,"Gas Existing","Gas Existing"
2031,1,"A","RR","LREC","OldGasGHG",218.761300532929,"Gas Existing","Gas Existing"
2032,1,"A","RR","LREC","OldGasGHG",215.146522395907,"Gas Existing","Gas Existing"
2033,1,"A","RR","LREC","OldGasGHG",211.574965948311,"Gas Existing","Gas Existing"
2034,1,"A","RR","LREC","OldGasGHG",208.037055024361,"Gas Existing","Gas Existing"
2035,1,"A","RR","LREC","OldGasGHG",204.52321345828,"Gas Existing","Gas Existing"
2036,1,"A","RR","LREC","OldGasGHG",201.026704921153,"Gas Existing","Gas Existing"
2037,1,"A","RR","LREC","OldGasGHG",197.552152431511,"Gas Existing","Gas Existing"
2038,1,"A","RR","LREC","OldGasGHG",194.10701884475,"Gas Existing","Gas Existing"
2039,1,"A","RR","LREC","OldGasGHG",190.698767016262,"Gas Existing","Gas Existing"
2040,1,"A","RR","LREC","OldGasGHG",187.334859801443,"Gas Existing","Gas Existing"
2041,1,"A","RR","LREC","OldGasGHG",184.022145855577,"Gas Existing","Gas Existing"
2042,1,"A","RR","LREC","OldGasGHG",180.765017033513,"Gas Existing","Gas Existing"
2043,1,"A","RR","LREC","OldGasGHG",177.567250989989,"Gas Existing","Gas Existing"
2044,1,"A","RR","LREC","OldGasGHG",174.432625379745,"Gas Existing","Gas Existing"
2045,1,"A","RR","LREC","OldGasGHG",171.364917857519,"Gas Existing","Gas Existing"
2046,1,"A","RR","LREC","OldGasGHG",168.367616657719,"Gas Existing","Gas Existing"
2047,1,"A","RR","LREC","OldGasGHG",165.44305233342,"Gas Existing","Gas Existing"
2048,1,"A","RR","LREC","OldGasGHG",162.593266017368,"Gas Existing","Gas Existing"
2049,1,"A","RR","LREC","OldGasGHG",159.820298842308,"Gas Existing","Gas Existing"
2050,1,"A","RR","LREC","OldGasGHG",157.126191940984,"Gas Existing","Gas Existing"
2051,1,"A","RR","LREC","OldGasGHG",154.511940038663,"Gas Existing","Gas Existing"
2052,1,"A","RR","LREC","OldGasGHG",151.974352230702,"Gas Existing","Gas Existing"
2053,1,"A","RR","LREC","OldGasGHG",149.50919120498,"Gas Existing","Gas Existing"
2054,1,"A","RR","LREC","OldGasGHG",147.112219649377,"Gas Existing","Gas Existing"
2055,1,"A","RR","LREC","OldGasGHG",144.779200251771,"Gas Existing","Gas Existing"
2056,1,"A","RR","LREC","OldGasGHG",142.506104981538,"Gas Existing","Gas Existing"
2057,1,"A","RR","LREC","OldGasGHG",140.289742934034,"Gas Existing","Gas Existing"
2058,1,"A","RR","LREC","OldGasGHG",138.127132486113,"Gas Existing","Gas Existing"
2059,1,"A","RR","LREC","OldGasGHG",136.015292014625,"Gas Existing","Gas Existing"
2060,1,"A","RR","LREC","OldGasGHG",133.951239896423,"Gas Existing","Gas Existing"
2020,1,"A","RR","LREC","NewGasGHG",0,"Gas New","Gas New"
2021,1,"A","RR","LREC","NewGasGHG",1.83157202646988,"Gas New","Gas New"
2022,1,"A","RR","LREC","NewGasGHG",3.75228165199038,"Gas New","Gas New"
2023,1,"A","RR","LREC","NewGasGHG",5.73965155235688,"Gas New","Gas New"
2024,1,"A","RR","LREC","NewGasGHG",7.77120440336474,"Gas New","Gas New"
2025,1,"A","RR","LREC","NewGasGHG",9.82446288080933,"Gas New","Gas New"
2026,1,"A","RR","LREC","NewGasGHG",11.8737719042675,"Gas New","Gas New"
2027,1,"A","RR","LREC","NewGasGHG",13.8807653684423,"Gas New","Gas New"
2028,1,"A","RR","LREC","NewGasGHG",15.8038994118179,"Gas New","Gas New"
2029,1,"A","RR","LREC","NewGasGHG",17.601630172879,"Gas New","Gas New"
2030,1,"A","RR","LREC","NewGasGHG",19.2324137901098,"Gas New","Gas New"
2031,1,"A","RR","LREC","NewGasGHG",20.6705951830874,"Gas New","Gas New"
2032,1,"A","RR","LREC","NewGasGHG",21.9540743957583,"Gas New","Gas New"
2033,1,"A","RR","LREC","NewGasGHG",23.1366402531617,"Gas New","Gas New"
2034,1,"A","RR","LREC","NewGasGHG",24.2720815803368,"Gas New","Gas New"
2035,1,"A","RR","LREC","NewGasGHG",25.4141872023228,"Gas New","Gas New"
2036,1,"A","RR","LREC","NewGasGHG",26.6021569756562,"Gas New","Gas New"
2037,1,"A","RR","LREC","NewGasGHG",27.8168348828633,"Gas New","Gas New"
2038,1,"A","RR","LREC","NewGasGHG",29.0244759379679,"Gas New","Gas New"
2039,1,"A","RR","LREC","NewGasGHG",30.1913351549937,"Gas New","Gas New"
2040,1,"A","RR","LREC","NewGasGHG",31.2836675479644,"Gas New","Gas New"
2041,1,"A","RR","LREC","NewGasGHG",32.2784390073197,"Gas New","Gas New"
2042,1,"A","RR","LREC","NewGasGHG",33.1954589291629,"Gas New","Gas New"
2043,1,"A","RR","LREC","NewGasGHG",34.0652475860129,"Gas New","Gas New"
2044,1,"A","RR","LREC","NewGasGHG",34.918325250389,"Gas New","Gas New"
2045,1,"A","RR","LREC","NewGasGHG",35.7852121948103,"Gas New","Gas New"
2046,1,"A","RR","LREC","NewGasGHG",36.6861709275815,"Gas New","Gas New"
2047,1,"A","RR","LREC","NewGasGHG",37.6004329001504,"Gas New","Gas New"
2048,1,"A","RR","LREC","NewGasGHG",38.4969717997501,"Gas New","Gas New"
2049,1,"A","RR","LREC","NewGasGHG",39.3447613136141,"Gas New","Gas New"
2050,1,"A","RR","LREC","NewGasGHG",40.1127751289756,"Gas New","Gas New"
2051,1,"A","RR","LREC","NewGasGHG",40.7791383451285,"Gas New","Gas New"
2052,1,"A","RR","LREC","NewGasGHG",41.3585817096095,"Gas New","Gas New"
2053,1,"A","RR","LREC","NewGasGHG",41.8749873820159,"Gas New","Gas New"
2054,1,"A","RR","LREC","NewGasGHG",42.3522375219448,"Gas New","Gas New"
2055,1,"A","RR","LREC","NewGasGHG",42.8142142889935,"Gas New","Gas New"
2056,1,"A","RR","LREC","NewGasGHG",43.2829695603472,"Gas New","Gas New"
2057,1,"A","RR","LREC","NewGasGHG",43.7732340835424,"Gas New","Gas New"
2058,1,"A","RR","LREC","NewGasGHG",44.2979083237037,"Gas New","Gas New"
2059,1,"A","RR","LREC","NewGasGHG",44.8698927459554,"Gas New","Gas New"
2060,1,"A","RR","LREC","NewGasGHG",45.502087815422,"Gas New","Gas New"
2020,1,"A","RR","LREC","OldElecGHG",475.972531858204,"Elec Existing","Elec Existing"
2021,1,"A","RR","LREC","OldElecGHG",476.856635049883,"Elec Existing","Elec Existing"
2022,1,"A","RR","LREC","OldElecGHG",470.146067127078,"Elec Existing","Elec Existing"
2023,1,"A","RR","LREC","OldElecGHG",456.900152327484,"Elec Existing","Elec Existing"
2024,1,"A","RR","LREC","OldElecGHG",438.178214888801,"Elec Existing","Elec Existing"
2025,1,"A","RR","LREC","OldElecGHG",415.039579048723,"Elec Existing","Elec Existing"
2026,1,"A","RR","LREC","OldElecGHG",388.619432957624,"Elec Existing","Elec Existing"
2027,1,"A","RR","LREC","OldElecGHG",360.356420416568,"Elec Existing","Elec Existing"
2028,1,"A","RR","LREC","OldElecGHG",331.765049139297,"Elec Existing","Elec Existing"
2029,1,"A","RR","LREC","OldElecGHG",304.359826839551,"Elec Existing","Elec Existing"
2030,1,"A","RR","LREC","OldElecGHG",279.65526123107,"Elec Existing","Elec Existing"
2031,1,"A","RR","LREC","OldElecGHG",258.786540464224,"Elec Existing","Elec Existing"
2032,1,"A","RR","LREC","OldElecGHG",241.371574435909,"Elec Existing","Elec Existing"
2033,1,"A","RR","LREC","OldElecGHG",226.648953479649,"Elec Existing","Elec Existing"
2034,1,"A","RR","LREC","OldElecGHG",213.857267928968,"Elec Existing","Elec Existing"
